x,y,velocity
1935243.071299604,966974.773886657,8
1935243.1937589296,966974.771997094,8
1935243.3112163227,966974.770232966,8
1935243.427697105,966974.7684538848,8
1935243.5499281315,966974.7665984672,8
1935243.70081768,966974.7642865648,8
1935243.86059963,966974.7618635278,8
1935244.0689747129,966974.7586817332,8
1935244.2361076465,966974.7561110974,8
1935244.3471127157,966974.7544039802,8
1935244.4772132912,966974.7523926984,8
1935244.6460697027,966974.7497946104,8
1935244.887725148,966974.7461132208,8
1935245.0229506409,966974.7440355644,8
1935245.220741077,966974.7410376208,8
1935245.417676673,966974.7380075286,8
1935245.6130108032,966974.7350029428,8
1935245.7480230173,966974.7329439392,8
1935245.9406577852,966974.7299976072,8
1935246.109651466,966974.7273973328,8
1935246.234276574,966974.7254732676,8
1935246.341575404,966974.7238251832,8
1935246.4884384207,966974.7215774118,8
1935246.614466956,966974.7196462514,8
1935246.71455183,966974.71812833,8
1935246.8299339807,966974.7163362346,8
1935246.985384362,966974.7139821914,8
1935247.1736873249,966974.7110896022,8
1935247.3659407948,966974.7081493428,8
1935247.568398344,966974.7050770615,8
1935247.7233144185,966974.702701018,8
1935247.8830808743,966974.70026297,8
1935248.046385312,966974.6977380572,8
1935248.2266356996,966974.6950042428,8
1935248.3872710331,966974.6925218452,8
1935248.5048957127,966974.6907245432,8
1935248.662969197,966974.688313461,8
1935248.8417851687,966974.6855567287,8
1935248.943784168,966974.6840083196,8
1935249.0499309872,966974.6823480722,8
1935249.1699352227,966974.6805281212,8
1935249.369280629,966974.6774596408,8
1935249.545702038,966974.6747410512,8
1935249.7245482656,966974.671968579,8
1935249.8791514332,966974.6695822616,8
1935250.1366074728,966974.6656186788,8
1935250.28717624,966974.6632813688,8
1935250.4386601327,966974.660929481,8
1935250.635725126,966974.6578820692,8
1935250.7455860465,966974.6561779171,8
1935250.8670232408,966974.6542893744,8
1935251.0206502809,966974.6519186054,8
1935251.1711580409,966974.6495822656,8
1935251.3646083127,966974.6465924296,8
1935251.564174388,966974.6434899202,8
1935251.6829501104,966974.6416437698,8
1935251.821080872,966974.6395045778,8
1935251.9291344336,966974.6378292151,8
1935252.030881288,966974.6362543066,8
1935252.3335895424,966974.63153941,8
1935252.476417432,966974.629294886,8
1935252.58436374,966974.6275907212,8
1935252.702559887,966974.6257537996,8
1935252.86404098,966974.6232121598,8
1935253.0447319688,966974.6203645354,8
1935253.167983914,966974.6184318288,8
1935253.2997388488,966974.6163636816,8
1935253.4427040012,966974.6141169732,8
1935253.5602745772,966974.6122747596,8
1935253.7384339825,966974.6094827148,8
1935253.8907641156,966974.6071020912,8
1935254.084304924,966974.6040497884,8
1935254.46190052,966974.5981420462,8
1935254.5921231085,966974.5961288142,8
1935254.727408884,966974.594004427,8
1935254.8544511967,966974.5920266008,8
1935255.0190899377,966974.589465173,5
1935255.1671421265,966974.587167948,5
1935255.3368137889,966974.5845110996,5
1935255.5042512775,966974.581905093,5
1935255.6675630976,966974.5793648016,5
1935255.8104067245,966974.5771505398,5
1935255.9859811573,966974.5744149224,5
1935256.1398746185,966974.5720093958,5
1935256.251954713,966974.570269894,5
1935256.431204636,966974.5674604764,5
1935256.6182643103,966974.564572429,5
1935256.7326932063,966974.562795516,5
1935256.888249142,966974.5603635096,5
1935257.0923605568,966974.5572038508,5
1935257.2760414348,966974.554339111,5
1935257.394298345,966974.5524859644,5
1935257.5358913057,966974.5502916242,5
1935257.7385840504,966974.5471393092,5
1935257.9560941109,966974.5437509748,5
1935258.070500376,966974.5419896764,5
1935258.1959717264,966974.5400368712,5
1935258.30343046,966974.5383709798,5
1935258.4516984588,966974.5357346848,5
1935258.6357082191,966974.5329257282,5
1935258.7570259797,966974.5316798304,5
1935258.927678248,966974.5312042064,5
1935259.0301056288,966974.5316474864,5
1935259.2116317656,966974.5338209952,5
1935259.3293569183,966974.5364157774,5
1935259.4996763936,966974.541864732,5
1935259.6633626623,966974.5489449316,5
1935259.7727116137,966974.5548463572,5
1935260.0485462896,966974.5740535546,5
1935260.205537303,966974.5879682418,5
1935260.3111866943,966974.5986579153,5
