x,y
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.2739682114,966974.6825405286
1935243.273983461,966974.6825402849
1935243.2740444716,966974.682539313
1935243.2741969933,966974.6825368864
1935243.2745020296,966974.6825320242
1935243.2750816059,966974.6825227938
1935243.2760272303,966974.6825077336
1935243.2774301723,966974.6824701285
1935243.2794739394,966974.6824375748
1935243.2822498067,966974.6823933595
1935243.285727262,966974.6823379698
1935243.289876054,966974.6822871419
1935243.2946942265,966974.6821188614
1935243.300183492,966974.6819398868
1935243.3063128528,966974.6817202109
1935243.3130982951,966974.6815053385
