x,y,road,event
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.971322422,966974.6873459588,stop,run
1935242.971322422,966974.6873459588,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.97129192,966974.6873464437,stop,run
1935242.97129192,966974.6873464437,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713071715,966974.6873462,stop,run
1935242.9713529288,966974.6873454716,stop,run
1935242.971429188,966974.687344256,stop,run
1935242.9716579665,966974.687340614,stop,run
1935242.9719020028,966974.687336726,stop,run
1935242.9725425849,966974.6873265211,stop,run
1935242.973167916,966974.68731656,stop,run
1935242.9745100937,966974.6872951832,stop,run
1935242.975715001,966974.6872759912,stop,run
1935242.9781248183,966974.6872376056,stop,run
1935242.980153337,966974.6872052932,stop,run
1935242.9837375565,966974.6871482031,stop,run
1935242.98651342,966974.6871039878,stop,run
1935242.9912567968,966974.6870284344,stop,run
1935242.994734252,966974.6869730424,stop,run
1935242.9963814672,966974.6869468032,stop,run
1935243.0024060137,966974.6868508446,stop,run
1935243.006829336,966974.6867956418,stop,run
1935243.0139517805,966974.6866669382,stop,run
1935243.01913746,966974.6865843371,stop,run
1935243.02734304,966974.6864536352,stop,run
1935243.0331693045,966974.6863608318,stop,run
1935243.0424272728,966974.6862133672,stop,run
1935243.0489246296,966974.686109874,stop,run
1935243.051944523,966974.6860617708,stop,run
1935243.0624074,966974.6858951144,stop,run
1935243.069804379,966974.6857620355,stop,run
1935243.081319646,966974.685578614,stop,run
1935243.08961698,966974.6854617046,stop,run
1935243.102108372,966974.685262738,stop,run
1935243.110878276,966974.6851230467,stop,run
1935243.1243610445,966974.6849082873,stop,run
1935243.13368002,966974.6847598504,stop,run
1935243.1481236687,966974.6845297824,stop,run
1935243.158251247,966974.6843837224,stop,run
1935243.173671024,966974.6841381092,stop,run
1935243.1843016704,966974.6839687804,stop,run
1935243.2006518205,966974.6837083462,stop,run
1935243.2118772983,966974.683529541,stop,run
1935243.22911206,966974.6832550188,stop,run
1935243.241176154,966974.6830476,stop,run
1935243.2593565464,966974.6827580128,stop,run
1935243.271695417,966974.6825614752,stop,run
1935243.2772471465,966974.6824730444,stop,run
1935243.2964494247,966974.6821671816,stop,run
1935243.3093678728,966974.6819614111,stop,run
1935243.3151483824,966974.6818693364,stop,run
1935243.33537254,966974.6815471957,stop,run
1935243.3493888928,966974.6813086822,stop,run
1935243.3704671613,966974.680972936,stop,run
1935243.384682518,966974.68077702,stop,run
1935243.3906155468,966974.680682514,stop,run
1935243.412685196,966974.6803309788,stop,run
1935243.427418636,966974.6800962968,stop,run
1935243.43420578,966974.6799881876,stop,run
1935243.4572210552,966974.6796215924,stop,run
1935243.472152769,966974.6793837532,stop,run
1935243.47968726,966974.6792637384,stop,run
1935243.503678661,966974.6788815917,stop,run
1935243.5205321312,966974.6786131426,stop,run
1935243.5453166384,966974.6782183622,stop,run
1935243.561956574,966974.677953314,stop,run
1935243.5693385457,966974.6778357304,stop,run
1935243.595038176,966974.6774263746,stop,run
1935243.612745753,966974.67714432,stop,run
1935243.6392079869,966974.6767228178,stop,run
1935243.656412244,966974.676448778,stop,run
1935243.6922239568,966974.6758783543,stop,run
1935243.7026105705,966974.6757129112,stop,run
1935243.7111669453,966974.675576621,stop,run
1935243.739276392,966974.6751288818,stop,run
1935243.7579906008,966974.6748307928,stop,run
1935243.7661351727,966974.6747010606,stop,run
1935243.7950834776,966974.6742399596,stop,run
1935243.8148808249,966974.6739398744,stop,run
1935243.8445307205,966974.6734675964,stop,run
1935243.8644495967,966974.6731350644,stop,run
1935243.8732805136,966974.672994399,stop,run
1935243.9037702389,966974.6725697676,stop,run
1935243.9242999288,966974.6722732746,stop,run
1935243.933481632,966974.6721270208,stop,run
1935243.9647947275,966974.6716740218,stop,run
1935243.9860717645,966974.6713656214,stop,run
1935244.0180254404,966974.6709024152,stop,run
1935244.039668524,966974.6705881874,stop,run
1935244.072293291,966974.6701142916,stop,run
1935244.0947142288,966974.6697876716,stop,run
1935244.1280103268,966974.66931834,stop,run
1935244.1507513104,966974.6689713672,stop,run
1935244.184672257,966974.6684615716,stop,run
1935244.2082373328,966974.668131981,stop,run
1935244.242814357,966974.6676269884,stop,run
1935244.2658301203,966974.6672908966,stop,run
1935244.2748442967,966974.6671625716,stop,run
1935244.3101229155,966974.6666464044,stop,run
1935244.3325133445,966974.6663202692,stop,run
1935244.3423661413,966974.6661633282,stop,run
1935244.3783618447,966974.6656509947,stop,run
1935244.4022469723,966974.6653010538,stop,run
